Filename;Fractal Dimension
Achavokil;1.17
Aconcagua;1.56
Adda;1.44
Adige;1.18
AeolisPlanum1;1.37
AlAbiadh;1.57
Amazon;1.61
Amur;1.37
AnjaniandJhiri;1.6
ArabiaValley2;1.53
Arno;1.33
Bahomoleo;1.35
Bangga;1.37
Basento;1.22
Bharathappuzha;1.38
Biobio;1.4
Blanchard;1.42
Boquet;1.45
Bradano;1.36
Bunta;1.46
Candelaro;1.52
Captina;1.55
Chalakudy;1.21
Chaliyar;1.49
Chari;1.36
ChrysePlanitia3;1.39
Congo;1.65
CususValles4;1.37
Danube;1.49
Devoll;1.42
Dniester;1.49
Don;1.56
Drin;1.49
Eberswalde Delta-11;1.49
Eberswaldedelta5;1.74
Ebro;1.6
EfestoFossae-17;1.47
Elqui;1.37
Eufrate;1.26
Gale6;1.38
Ganges;1.4
HuangHe;1.31
Huasco;1.18
Huygens_crater_Hellas_crater-15;1.44
Idice;1.29
Indus;1.36
Indusvallei-7;1.31
Isonzo;1.29
Itata;1.31
Jharkhand;1.64
Jordan;1.24
Kadalundi;1.41
Kadvi;1.65
Kallada;1.38
Karamana;1.38
Karuvannur;1.57
Kaveri;1.42
Kentucky;1.52
Kolyma;1.35
Krishna;1.29
Kuttiyadi;1.56
Lena;1.34
Liri;1.36
Lockrasvallei-8;1.58
Loire;1.42
Luni;1.35
MaadimVallis-9;1.13
MaadimVallis2-10;1.37
Mackenze;1.4
Mahe;1.43
Maipo;1.36
Malino;1.51
Manimala;0.98
Maule;1.58
Meenachil;1.43
Mekong;1.18
Meuse;1.34
Mississippi;1.58
Missouri;1.23
Moreau;1.25
Muvattupuzha;1.2
Nakgtonvallei-12;1.49
Neyyar;1.32
Niger;1.43
Nile;1.32
NirgalVallis-13;1.29
Ob;1.25
Oder;1.34
Ohio;1.39
Olenek;1.18
Ombrone;1.31
Orr;1.59
OsugaValley-14;1.4
Ottawa;1.68
Pamba;1.26
Paraguay;1.46
Parana;1.3
ParanaValley-16;1.33
Periyar;1.39
Petrace;1.43
Piave;1.34
Pinamula;1.39
Pinios;1.37
Po;1.48
Powder;1.52
Rapel;1.55
Rhine;1.31
Rhone;1.6
Russian;1.53
Sabarmati;1.35
Saitama;1.6
SaludaReedy;1.56
SanJoaquin;1.48
Sava;1.16
Schiapparellicrater-18;1.49
Seine;1.48
Simeto;1.44
Singkoyo;1.43
Snake;1.57
StJoseph;1.47
Susquehanna;1.62
Tambun;1.48
Tanaro;1.39
Tarali;1.58
TerraCimmeria-19;1.51
TerraCimmeria-20;1.67
Tevere;1.53
Thames;1.48
Ticino;1.27
Tigri;1.39
Titan2-25;1.25
Titanoriver-24;1.44
Toaya;1.33
Tobol;1.4
Turkey;1.43
TyrasValley-21;1.43
Umbro;1.61
Uruguay;1.16
Vamanapuram;1.44
Varuna;1.43
Vergas;1.57
Vishwamitri;1.46
Vistula;1.3
Vjosa;1.27
Volfe-Bell Canyon;1.73
Volga;1.35
Volturno;1.48
Wabash;1.62
WadiQuena;1.57
WarregoValles-22;1.64
WarregoValles2-23;1.63
Wheeling;1.56
Wyoming;1.64
Yangtze;1.38
Yellowstone;1.37
Yenisey;1.28
Zambezi;1.41
